Active Cores,Bandwidth (MB/s),Cachable Observed,Operation Observed,Buffer size Observed,Pool Id Observed,Cachable Interference,Operation Interference,Buffer size Interference,Pool Id Interference,Execution
0,8920.288086,c,w,262144,2,c,r,262144,2,22
0,8956.079102,c,w,262144,2,c,r,262144,2,16
0,8949.666992,c,w,262144,2,c,r,262144,2,29
0,8945.824219,c,w,262144,2,c,r,262144,2,2
0,8928.571289,c,w,262144,2,c,r,262144,2,30
0,8914.5625,c,w,262144,2,c,r,262144,2,20
0,8909.479492,c,w,262144,2,c,r,262144,2,3
0,8920.288086,c,w,262144,2,c,r,262144,2,21
0,8914.5625,c,w,262144,2,c,r,262144,2,17
0,8886.677734,c,w,262144,2,c,r,262144,2,28
